id_cliente,idade,renda,produto,regiao-BR,pre-pandemia
XXXXXXX72,30,7452,batom,Sudeste,1
XXXXXXX15,59,837,desodorante,Nordeste,1
XXXXXXX70,28,3231,sombra,Centro-Oeste,1
XXXXXXX99,27,5409,batom,Sul,1
XXXXXXX98,24,1142,batom,Sudeste,1
XXXXXXX60,29,8055,batom,Nordeste,1
XXXXXXX73,22,9343,batom,Nordeste,1
XXXXXXX31,31,3748,batom,Sudeste,1
XXXXXXX13,34,3118,desodorante,Nordeste,1
XXXXXXX65,47,7404,batom,Sul,1
XXXXXXX91,52,9089,desodorante,Nordeste,1
XXXXXXX47,36,19226,batom,Nordeste,1
XXXXXXX46,19,13612,batom,Sudeste,1
XXXXXXX23,28,5132,perfume,Centro-Oeste,1
XXXXXXX43,58,11113,desodorante,Centro-Oeste,1
XXXXXXX96,31,6366,batom,Sudeste,1
XXXXXXX19,55,5710,batom,Sul,1
XXXXXXX31,45,8079,perfume,Centro-Oeste,1
XXXXXXX40,35,4867,desodorante,Nordeste,1
XXXXXXX97,27,2358,antissinais,Norte,1
XXXXXXX84,38,17253,batom,Sul,1
XXXXXXX47,25,4178,batom,Sul,1
XXXXXXX75,58,4733,desodorante,Nordeste,1
XXXXXXX29,20,7488,sombra,Centro-Oeste,1
XXXXXXX17,25,7069,batom,Sudeste,1
XXXXXXX88,68,14784,batom,Sul,1
XXXXXXX39,23,16465,batom,Sul,1
XXXXXXX84,27,110,batom,Nordeste,1
XXXXXXX14,34,5990,batom,Nordeste,1
XXXXXXX32,38,3025,desodorante,Nordeste,1
XXXXXXX36,66,2558,desodorante,Nordeste,1
XXXXXXX23,30,23015,batom,Sul,1
XXXXXXX14,26,13770,batom,Sudeste,1
XXXXXXX55,60,8736,batom,Sudeste,1
XXXXXXX27,71,5031,batom,Sudeste,1
XXXXXXX37,54,298,batom,Sul,1
XXXXXXX86,52,12245,antissinais,Centro-Oeste,1
XXXXXXX10,42,6891,batom,Sul,1
XXXXXXX60,80,15969,sombra,Centro-Oeste,1
XXXXXXX38,59,4150,batom,Sudeste,1
XXXXXXX61,33,19070,desodorante,Nordeste,1
XXXXXXX19,48,14869,batom,Sul,1
XXXXXXX99,55,18864,batom,Sul,1
XXXXXXX15,37,2972,batom,Sul,1
XXXXXXX71,31,15331,batom,Sul,1
XXXXXXX11,39,18219,batom,Sul,1
XXXXXXX15,33,5708,antissinais,Norte,1
XXXXXXX55,22,13226,desodorante,Centro-Oeste,1
XXXXXXX76,74,7803,desodorante,Centro-Oeste,1
XXXXXXX78,26,251,desodorante,Centro-Oeste,1
XXXXXXX66,43,13787,desodorante,Nordeste,1
XXXXXXX23,53,11832,batom,Sul,1
XXXXXXX75,17,12602,batom,Nordeste,1
XXXXXXX80,77,4092,perfume,Centro-Oeste,1
XXXXXXX46,25,6609,batom,Sudeste,1
XXXXXXX74,47,6617,batom,Sul,1
XXXXXXX59,26,12862,batom,Sudeste,1
XXXXXXX42,16,9455,batom,Nordeste,1
XXXXXXX68,49,3325,desodorante,Nordeste,1
XXXXXXX57,37,24090,batom,Sul,1
XXXXXXX40,76,10655,antissinais,Norte,1
XXXXXXX16,38,2412,batom,Sul,1
XXXXXXX56,57,13416,batom,Sul,1
XXXXXXX32,40,1314,batom,Nordeste,1
XXXXXXX21,36,14108,desodorante,Nordeste,1
XXXXXXX37,46,14775,base,Centro-Oeste,1
XXXXXXX42,21,18695,batom,Sudeste,1
XXXXXXX43,69,5426,batom,Sudeste,1
XXXXXXX95,32,8155,batom,Sudeste,1
XXXXXXX18,41,10407,batom,Sul,1
XXXXXXX86,21,5772,antissinais,Norte,1
XXXXXXX84,37,10570,perfume,Centro-Oeste,1
XXXXXXX17,29,11375,batom,Sul,1
XXXXXXX23,22,6525,batom,Nordeste,1
XXXXXXX73,23,5112,base,Centro-Oeste,1
XXXXXXX57,37,5830,desodorante,Nordeste,1
XXXXXXX59,45,9239,batom,Sul,1
XXXXXXX89,46,10153,sombra,Centro-Oeste,1
XXXXXXX64,43,6793,desodorante,Nordeste,1
XXXXXXX99,53,18104,batom,Sul,1
XXXXXXX98,47,22927,antissinais,Norte,1
XXXXXXX22,37,22854,batom,Sudeste,1
XXXXXXX88,38,18429,desodorante,Centro-Oeste,1
XXXXXXX56,26,7128,batom,Sudeste,1
XXXXXXX42,62,7287,batom,Sudeste,1
XXXXXXX22,26,5080,batom,Sudeste,1
XXXXXXX81,20,19796,batom,Sul,1
XXXXXXX20,36,23311,batom,Nordeste,1
XXXXXXX21,44,3278,batom,Sul,1
XXXXXXX38,36,11100,desodorante,Nordeste,1
XXXXXXX55,42,5994,batom,Sul,1
XXXXXXX69,35,3141,batom,Sudeste,1
XXXXXXX95,41,4232,batom,Sul,1
XXXXXXX28,32,9878,antissinais,Norte,1
XXXXXXX39,31,10590,desodorante,Nordeste,1
XXXXXXX14,24,7996,batom,Sudeste,1
XXXXXXX80,32,6251,antissinais,Norte,1
XXXXXXX92,43,2616,batom,Sul,1
XXXXXXX65,54,2324,antissinais,Norte,1
XXXXXXX79,61,12278,base,Centro-Oeste,1
XXXXXXX29,48,1286,batom,Nordeste,1
XXXXXXX67,35,25959,batom,Sul,0
XXXXXXX60,35,1995,desodorante,Nordeste,0
XXXXXXX48,53,23314,antissinais,Centro-Oeste,0
XXXXXXX67,44,16693,antissinais,Centro-Oeste,0
XXXXXXX59,37,14631,base,Nordeste,0
XXXXXXX51,37,11952,base,Nordeste,0
XXXXXXX61,44,25055,batom,Sudeste,0
XXXXXXX38,46,11126,batom,Sudeste,0
XXXXXXX34,40,12444,desodorante,Sul,0
XXXXXXX94,54,12025,desodorante,Sul,0
XXXXXXX84,25,8010,desodorante,Sudeste,0
XXXXXXX93,43,11007,desodorante,Sudeste,0
XXXXXXX91,38,8060,antissinais,Centro-Oeste,0
XXXXXXX64,48,30000,antissinais,Centro-Oeste,0
XXXXXXX59,71,6823,desodorante,Sul,0
XXXXXXX34,50,6061,sombra,Nordeste,0
XXXXXXX41,23,15864,desodorante,Sul,0
XXXXXXX36,51,9250,desodorante,Sul,0
XXXXXXX85,61,19361,batom,Sudeste,0
XXXXXXX14,62,10964,desodorante,Sul,0
XXXXXXX92,48,15580,antissinais,Norte,0
XXXXXXX99,33,17969,sombra,Nordeste,0
XXXXXXX49,15,9910,batom,Sudeste,0
XXXXXXX49,51,13036,desodorante,Sul,0
XXXXXXX35,50,21456,perfume,Nordeste,0
XXXXXXX57,39,11330,desodorante,Sul,0
XXXXXXX41,34,7080,desodorante,Sul,0
XXXXXXX10,46,7521,antissinais,Norte,0
XXXXXXX69,24,14367,antissinais,Nordeste,0
XXXXXXX69,37,16727,sombra,Nordeste,0
XXXXXXX63,47,13743,antissinais,Norte,0
XXXXXXX26,57,10060,base,Nordeste,0
XXXXXXX19,60,25172,sombra,Nordeste,0
XXXXXXX21,36,17837,desodorante,Sul,0
XXXXXXX19,30,4148,batom,Sudeste,0
XXXXXXX45,65,13287,batom,Sudeste,0
XXXXXXX75,35,12768,desodorante,Sul,0
XXXXXXX63,27,11289,antissinais,Norte,0
XXXXXXX47,27,18446,batom,Sudeste,0
XXXXXXX21,36,11713,sombra,Nordeste,0
XXXXXXX68,63,10282,desodorante,Sul,0
XXXXXXX29,53,3191,antissinais,Norte,0
XXXXXXX17,36,12755,desodorante,Sul,0
XXXXXXX70,77,5992,antissinais,Centro-Oeste,0
XXXXXXX92,47,15827,antissinais,Centro-Oeste,0
XXXXXXX24,27,17462,antissinais,Norte,0
XXXXXXX67,61,16286,perfume,Nordeste,0
XXXXXXX77,39,17870,desodorante,Sul,0
XXXXXXX55,61,26333,desodorante,Sul,0
